stop_id ,name,service_branch,side,stop_order,stop_type,stop_date,place_label,place_standardized,certainty,source_field,source_excerpt,notes_for_mapping,lat,lon
199,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,3,enlistment_or_service_state,"July 24, 1863",New York,New York,approximate,regiment_state + important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
200,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,4,discharge_or_muster_out,"September 30, 1864",New York,New York,approximate,regiment_state + important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
201,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,5,residence_after_enlistment,1917,Soldiers' and Sailors' Home,New York City,approximate,regiment_state + important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
202,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,6,location_after_ war,15-Jun-20,GAR muster,New York,approximate,regiment_state + important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
203,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,7,death_place,3-Dec-23,Staten Island Hospital,"Staten Island, New York",approximate,regiment_state + important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
204,John Harry,Navy,Union,1,birth_place,1834,China,China,exact,born_if_known,"China, 1834",,,
205,John Harry,Navy,Union,2,residence_at_enlistment,1864,"New Jersey, Fifth District, Newark","Newark, New Jersey",approximate,important_notes,"Enlisted: June 25th, 1864: Residence- New Jersey, Fifth District, Newark. Occupation: Cook",Residence listed in notes; standardized place is best city/state match for mapping.,,
206,John Harry,Navy,Union,3,enlistment_or_service_state,"June 25, 1864",New York,New York,approximate,regiment_state + important_notes,"Enlisted: June 25th, 1864: Residence- New Jersey, Fifth District, Newark. Occupation: Cook",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
207,George Hitchings,Navy,Union,1,birth_place,1837,China,China,exact,born_if_known,"China, 1837-1838",,,
208,George Hitchings,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Enlisted: February 1862. Occupation: Cook. ""Chinese""",Residence listed in notes; standardized place is best city/state match for mapping.,,
